"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1017.3,1019.6,1019.7,"2014-01-01 09:29",1015.5,"2014-01-01 15:13",18.5,21.9,"2014-01-01 12:34",16.3,"2014-01-01 05:42",13,70,57,"2014-01-01 12:12",2,250,5,240,"2014-01-01 06:54","0.0",0,"0.0","","0.0","",1.1,10.3,9.24,11,2.7
2,1015,1017.3,1017.5,"2014-01-02 08:42",1012.7,"2014-01-02 16:24",20.2,24.8,"2014-01-02 13:18",17.2,"2014-01-02 06:15",13.8,67,49,"2014-01-02 11:32",3.4,240,8.8,220,"2014-01-02 03:40","0.0",0,"0.0","","0.0","",5.2,48.8,14.98,13,2.6
3,1012,1014.2,1013.6,"2014-01-03 00:04",1009.6,"2014-01-03 14:49",21.6,25.7,"2014-01-03 14:16",17.4,"2014-01-03 06:35",15.3,68,54,"2014-01-03 13:50",3.3,70,12,50,"2014-01-03 22:39","0.0",0,"0.0","","0.0","",6.3,59.1,22.63,13.4,2.3
4,1014.8,1017.1,1016.8,"2014-01-04 22:27",1012.9,"2014-01-04 02:04",19.4,21.5,"2014-01-04 00:01",16.9,"2014-01-04 23:03",10.6,57,50,"2014-01-04 11:38",4.4,40,12.9,60,"2014-01-04 03:21","0.0",0,"0.0","","0.0","",0,0,2.4,9,2.5
5,1018,1020.3,1020,"2014-01-05 08:55",1016.1,"2014-01-05 02:34",17.7,18.8,"2014-01-05 11:07",16.3,"2014-01-05 23:55",8.3,54,46,"2014-01-05 01:58",3.7,40,9.9,30,"2014-01-05 09:11","T",1.8,"T","2014-01-05 18:30","T","2014-01-05 18:30",0.1,0.9,7.75,8.5,-2
6,1018.2,1020.5,1020.4,"2014-01-06 09:06",1016.2,"2014-01-06 14:07",17.4,20.7,"2014-01-06 11:53",14.7,"2014-01-06 07:01",11.2,67,55,"2014-01-06 11:46",2.2,240,6.1,220,"2014-01-06 09:26","0.0",0,"0.0","","0.0","",0.8,7.5,6.49,10,1.9
7,1016.2,1018.4,1018.3,"2014-01-07 08:33",1013.9,"2014-01-07 14:57",19.3,23.4,"2014-01-07 12:47",15.2,"2014-01-07 06:45",13.6,70,57,"2014-01-07 10:44",3.2,240,8.6,160,"2014-01-07 13:05","0.0",0,"0.0","","0.0","",7.3,68.3,23.25,12.5,3.1
8,1015.2,1017.5,1018.2,"2014-01-08 23:54",1012.6,"2014-01-08 14:59",19.8,25,"2014-01-08 12:56",15.8,"2014-01-08 06:49",14.8,74,57,"2014-01-08 10:37",4.6,240,16.6,10,"2014-01-08 20:03","1.5",0.9,"1.0","2014-01-08 21:21","1.5","2014-01-08 20:55",8.9,83.3,25.78,14,-2.5
9,1021.3,1023.6,1024.5,"2014-01-09 22:31",1018.1,"2014-01-09 00:04",16.1,17.3,"2014-01-09 00:10",14.3,"2014-01-09 20:49",12.1,78,65,"2014-01-09 17:14",4,40,14.4,50,"2014-01-09 00:21","0.5",0.3,"0.5","2014-01-09 20:06","0.5","2014-01-09 20:06",0,0,2.9,10,-1
10,1023.7,1026,1025.7,"2014-01-10 08:58",1021.3,"2014-01-10 14:58",16.6,19.4,"2014-01-10 12:13",14.5,"2014-01-10 01:02",12.9,79,66,"2014-01-10 10:15",2.8,340,9.5,50,"2014-01-10 10:59","0.5",2,"0.5","2014-01-10 05:31","0.5","2014-01-10 05:30",1,9.3,14.91,11.1,-2
11,1022.5,1024.8,1024.7,"2014-01-11 08:46",1020.7,"2014-01-11 14:30",17.2,21.8,"2014-01-11 11:37",14.6,"2014-01-11 07:09",14.3,83,64,"2014-01-11 10:58",2.4,240,7.1,150,"2014-01-11 12:11","1.5",2.8,"0.5","2014-01-11 07:01","1.0","2014-01-11 15:53",4.1,38.3,17.39,12.3,-0.6
12,1020.1,1022.4,1022,"2014-01-12 08:45",1018.2,"2014-01-12 15:01",19.2,23.6,"2014-01-12 13:04",15,"2014-01-12 05:33",14.2,74,59,"2014-01-12 13:04",3.7,240,14.2,40,"2014-01-12 19:38","0.0",0,"0.0","","0.0","",7.6,70.8,20.36,13.5,3.9
13,1019.3,1021.6,1021.1,"2014-01-13 09:05",1017.4,"2014-01-13 14:39",19,20.8,"2014-01-13 11:30",16.5,"2014-01-13 23:58",12.8,68,61,"2014-01-13 10:42",4.3,40,12.7,30,"2014-01-13 12:05","0.0",0,"0.0","","0.0","",1.3,12.1,9.55,10.5,2.4
14,1018.8,1021.1,1021.6,"2014-01-14 23:44",1016.8,"2014-01-14 04:04",17.5,21.4,"2014-01-14 10:14",14.9,"2014-01-14 04:15",11.6,68,58,"2014-01-14 21:28",5.9,40,16.6,50,"2014-01-14 13:44","0.0",0,"0.0","","0.0","",1.4,13,16.73,12.4,3.6
15,1023,1025.3,1025,"2014-01-15 09:40",1020.5,"2014-01-15 02:49",16.9,19,"2014-01-15 10:31",15.3,"2014-01-15 23:55",7.5,54,42,"2014-01-15 10:25",6.2,40,18.9,30,"2014-01-15 04:34","0.0",0,"0.0","","0.0","",1.7,15.8,12.97,12.8,3.8
16,1022.2,1024.5,1024.6,"2014-01-16 08:39",1020,"2014-01-16 14:56",16.2,21,"2014-01-16 11:10",11.4,"2014-01-16 06:59",8.8,62,45,"2014-01-16 10:57",2.5,350,8.8,40,"2014-01-16 12:05","0.0",0,"0.0","","0.0","",3.8,35.3,10.89,12.1,2
17,1020.4,1022.7,1021.8,"2014-01-17 08:59",1018.2,"2014-01-17 14:00",17.7,21.7,"2014-01-17 12:52",12.5,"2014-01-17 06:41",10.5,63,50,"2014-01-17 13:33",3,30,9.6,20,"2014-01-17 20:07","T",0.3,"T","2014-01-17 18:50","T","2014-01-17 18:50",5.6,51.9,13.58,13.4,-2.4
18,1023.9,1026.2,1027.9,"2014-01-18 22:00",1020.6,"2014-01-18 00:28",16.6,20.3,"2014-01-18 10:33",14.2,"2014-01-18 23:40",7.7,56,43,"2014-01-18 09:52",5.4,40,16.7,40,"2014-01-18 20:21","0.0",0,"0.0","","0.0","",3.4,31.5,15.42,10.6,3.7
19,1024.9,1027.2,1027.9,"2014-01-19 08:42",1022.9,"2014-01-19 23:58",16.6,20.7,"2014-01-19 14:34",13.3,"2014-01-19 04:29",7.2,54,42,"2014-01-19 11:05",2.5,240,9.8,40,"2014-01-19 02:25","0.0",0,"0.0","","0.0","",5.3,49,13.76,11.6,3.1
20,1020.2,1022.5,1022.9,"2014-01-20 00:01",1017.7,"2014-01-20 14:15",17.4,22.5,"2014-01-20 12:13",12.1,"2014-01-20 06:58",9.2,59,44,"2014-01-20 10:54",3.6,240,14.1,50,"2014-01-20 23:35","0.5",0.8,"0.5","2014-01-20 20:27","0.5","2014-01-20 20:05",3.9,36,11.44,13.3,-3.1
21,1021.6,1023.9,1023.9,"2014-01-21 21:40",1019.2,"2014-01-21 01:39",15.1,17.9,"2014-01-21 00:01",13.8,"2014-01-21 23:49",7.4,60,49,"2014-01-21 23:23",7.6,40,18.5,50,"2014-01-21 02:01","0.0",0,"0.0","","0.0","",0,0,2.65,9.3,2.9
22,1023.1,1025.4,1024.5,"2014-01-22 09:23",1021,"2014-01-22 14:41",14,15.3,"2014-01-22 16:00",11.2,"2014-01-22 23:32",5,55,47,"2014-01-22 01:24",3,40,12.6,60,"2014-01-22 00:57","0.0",0,"0.0","","0.0","",0,0,2.8,11,3
23,1021.5,1023.9,1024.2,"2014-01-23 00:09",1019,"2014-01-23 14:33",15,20.4,"2014-01-23 13:39",9.8,"2014-01-23 01:27",6.6,58,42,"2014-01-23 10:52",2.6,240,6.2,100,"2014-01-23 14:53","0.0",0,"0.0","","0.0","",8.3,76.4,15.68,13.3,2.5
24,1018.5,1020.7,1020.8,"2014-01-24 09:07",1016,"2014-01-24 15:19",17.8,23.4,"2014-01-24 13:00",12.3,"2014-01-24 03:59",8.5,55,37,"2014-01-24 11:18",3.5,230,8.5,210,"2014-01-24 23:19","0.0",0,"0.0","","0.0","",10.2,93.7,18.26,19,3.5
25,1016.4,1018.7,1018.3,"2014-01-25 09:24",1014.4,"2014-01-25 14:28",18.8,23.8,"2014-01-25 12:58",13.9,"2014-01-25 06:55",10.3,58,46,"2014-01-25 10:40",2.6,250,8,210,"2014-01-25 00:16","0.0",0,"0.0","","0.0","",6.2,56.9,12.27,16.8,3.5
26,1017.8,1020.1,1019.6,"2014-01-26 09:33",1015.9,"2014-01-26 02:32",17.7,20.3,"2014-01-26 10:52",15.1,"2014-01-26 05:57",10.9,65,56,"2014-01-26 13:58",3.5,40,15.2,40,"2014-01-26 12:22","0.0",0,"0.0","","0.0","",0.1,0.9,2.71,11.1,1.9
27,1018.8,1021.1,1020.4,"2014-01-27 09:11",1017.1,"2014-01-27 14:56",18.5,21.7,"2014-01-27 11:46",16,"2014-01-27 05:20",11.8,66,53,"2014-01-27 11:23",2.8,40,8.7,270,"2014-01-27 02:35","0.0",0,"0.0","","0.0","",3.5,32,11.98,11.4,2
28,1018.6,1020.9,1020.4,"2014-01-28 09:15",1016.8,"2014-01-28 14:29",18.6,23.4,"2014-01-28 14:17",14.1,"2014-01-28 06:30",12.1,66,54,"2014-01-28 12:03",2.5,240,7,250,"2014-01-28 07:42","0.0",0,"0.0","","0.0","",7.5,68.5,15.57,13.6,2.3
29,1017.4,1019.6,1019.4,"2014-01-29 09:16",1015.2,"2014-01-29 15:28",19.6,23.9,"2014-01-29 13:56",16,"2014-01-29 05:50",13.8,70,52,"2014-01-29 10:42",2.2,240,6,100,"2014-01-29 11:28","0.0",0,"0.0","","0.0","",6.2,56.6,14.86,13.6,3.6
30,1017.1,1019.4,1019.3,"2014-01-30 09:18",1015.3,"2014-01-30 14:57",20.1,25.8,"2014-01-30 14:44",15.7,"2014-01-30 06:03",13.8,68,51,"2014-01-30 14:55",3.1,240,7.8,230,"2014-01-30 06:54","0.0",0,"0.0","","0.0","",9.2,83.8,16.14,13.4,2.8
31,1017.9,1020.1,1020.2,"2014-01-31 09:06",1016.6,"2014-01-31 18:51",20.3,25.7,"2014-01-31 12:15",15.9,"2014-01-31 05:13",13.9,67,54,"2014-01-31 09:47",3,240,6.9,240,"2014-01-31 07:06","0.0",0,"0.0","","0.0","",7.4,67.3,14.35,10.9,1.5
